Name,RA_2000_Deg,Dec_2000_Deg,Vmag
,1.29125,45.22916666666667,6.7
,1.2658333333333334,-0.5030555555555556,6.29
33,1.33375,4.2924999999999995,4.61
86,1.425,13.39611111111111,5.51
,1.5666666666666667,58.43666666666666,5.96
,1.5791666666666666,48.925,5.7
10,1.6104166666666666,64.19611111111111,5.59
,1.6533333333333333,29.02138888888889,6.13
,1.70875,22.8925,6.18
,1.8258333333333334,16.613611111111112,6.19
,1.93375,1.4511111111111112,6.43
,1.945,21.49111111111111,5.94
,2.0145833333333334,32.470555555555556,5.68
,2.0504166666666666,1.5522222222222222,6.07
21Alp,2.0970833333333334,29.090555555555554,2.06
,2.0725,7.176111111111111,5.99
,2.1708333333333334,36.626666666666665,6.19
,2.1391666666666667,16.4225,6.06
,2.2175,25.462777777777777,6.23
,2.3341666666666665,79.71472222222222,6.01
11Bet,2.294583333333333,59.14972222222222,2.27
87,2.26,18.211944444444445,5.53
,2.26,53.99805555555555,6.33
Kap,2.3375,26.01222222222222,5.42
Eps,2.3529166666666668,44.2525,3.88
34,2.5095833333333335,11.145555555555555,5.51
22,2.580416666666667,46.07222222222222,5.03
,2.62375,57.16555555555556,6.74
,2.578333333333333,4.751388888888889,5.84
Gam,2.50875,81.7761111111111,5.28
,2.6783333333333332,11.42,5.85
,2.660833333333333,72.77555555555556,6.64
6,2.81625,14.531944444444445,4.89
Kap,2.8933333333333335,26.200277777777774,5.41
The,2.933333333333333,34.86694444444444,5.25
,2.99625,48.152499999999996,6.16
,3.0416666666666665,16.061666666666667,5.25
,3.21,37.69333333333333,6.73
88Gam,3.3091666666666666,15.18361111111111,2.83
,3.35,26.987222222222222,6.3
23,3.3783333333333334,41.03527777777778,5.72
,3.4254166666666666,25.978055555555557,5.94
,3.4341666666666666,25.715277777777775,6.31
,3.5095833333333335,33.20611111111111,6.25
89Chi,3.6508333333333334,20.206666666666667,4.8
,3.615,6.219444444444444,5.12
,3.3308333333333335,83.00583333333333,5.77
7,3.66,17.06722222222222,4.44
,3.73375,22.284166666666668,6.24
35,3.745,8.820833333333333,5.79
,3.7270833333333333,8.430277777777778,5.75
,3.779166666666667,31.535833333333336,6.45
,3.7941666666666665,27.283055555555556,6.35
,3.7425,33.095555555555556,6.17
,4.058333333333334,76.95083333333334,6.35
,4.09,43.594722222222224,6.15
,4.037083333333333,30.55361111111111,5.67
,3.98,74.0886111111111,6.49
36,4.142083333333334,8.239999999999998,6.11
,4.237916666666667,61.53333333333333,5.74
,4.177083333333333,19.789444444444445,6.47
,4.287916666666667,47.9475,5.89
24The,4.272916666666666,38.681666666666665,4.61
,4.204166666666667,77.21944444444445,6.77
,4.429166666666666,51.433055555555555,6.14
,4.385833333333333,18.948888888888888,6.45
,4.44875,1.6888888888888889,6.17
25Sig,4.582083333333333,36.78527777777778,4.52
,4.571666666666666,11.205833333333333,6.05
26,4.675416666666667,43.79111111111111,6.11
,4.659583333333333,31.51722222222222,5.87
,4.674166666666666,7.947222222222222,6.46
,4.6775,42.76472222222222,6.33
8Iot,4.857083333333334,7.176111111111111,3.56
,4.923333333333334,40.72972222222222,6.33
,5.0216666666666665,48.86527777777778,6.52
Zet,5.017916666666666,63.125277777777775,4.23
,5.101666666666667,30.935833333333335,5.9
,5.189583333333333,32.91138888888889,5.79
41,5.149583333333333,8.190277777777778,5.37
,5.227083333333334,10.976944444444445,6.56
27Rho,5.2804166666666665,37.968611111111116,5.18
Pi,5.1625,68.375,5.51
Iot,5.38,27.018333333333334,5.18
,5.442916666666667,19.94222222222222,5.12
42,5.60625,13.4825,6.23
,5.369166666666667,76.57305555555556,5.97
9,5.715833333333333,11.790555555555557,6.39
,5.8025,30.96388888888889,6.55
,6.008333333333334,38.577222222222225,7.39
,6.065,52.019999999999996,5.57
12,6.197916666666667,61.83111111111111,5.4
,6.12375,1.7808333333333333,6.07
,6.276666666666666,53.04694444444444,5.74
44,6.350833333333333,1.9397222222222223,5.77
Bet,6.437916666666666,76.74583333333334,2.8
Alp,6.570833333333334,41.69388888888889,2.39
Kap,6.550833333333333,42.32,3.94
10,6.655833333333334,-0.04972222222222222,6.19
,6.81125,24.452777777777776,5.98
47,7.012083333333333,17.893055555555556,5.06
,7.057083333333333,44.394444444444446,5.17
Eta,6.982083333333334,32.992777777777775,4.81
48,7.0529166666666665,16.445,6.06
,7.08375,10.189722222222223,6.04
,7.087916666666667,19.665000000000003,6.43
,7.11,38.085,5.43
,7.235833333333334,36.9,6.26
,7.179583333333333,49.467222222222226,6.26
,7.729166666666667,77.01944444444445,6.21
,7.582916666666667,59.977222222222224,5.94
28,7.5304166666666665,29.751666666666665,5.23
,7.46625,13.135833333333334,6.14
,7.45375,31.883333333333333,6.57
12,7.51,2.042777777777778,5.72
,7.5945833333333335,22.21222222222222,5.19
,7.615833333333334,39.06055555555556,6.19
,7.60875,47.785,5.69
13,7.855416666666667,66.51944444444445,6.18
,7.8566666666666665,33.58166666666667,5.87
14Lam,7.943333333333333,54.52222222222222,4.73
,7.921666666666667,52.839444444444446,5.6
Lam,7.854166666666667,47.19638888888889,4.77
Bet,7.88625,61.04194444444444,4.37
Bet,7.89,61.034166666666664,4.54
,8.111666666666666,43.49472222222222,6.7
,8.330416666666666,70.98166666666667,6.42
15Kap,8.25,62.931666666666665,4.16
52,8.147916666666667,20.294444444444448,5.38
51,8.099166666666667,6.955555555555556,5.67
,8.14375,27.580555555555556,6.67
,8.204583333333334,28.280277777777776,6.3
,8.293333333333333,54.894999999999996,5.93
Bet,8.1825,62.96888888888889,5.09
16,8.60375,66.75027777777778,6.48
,8.42125,28.441666666666666,5.55
The,8.347083333333334,70.73388888888888,6.13
,8.615833333333333,51.62694444444445,5.57
,8.730416666666667,13.371111111111112,6.4
13,8.812083333333334,2.407222222222222,5.2
14,8.886666666666667,-0.5055555555555555,5.93
,9.034583333333334,54.16861111111111,5.08
,8.977916666666667,13.206666666666665,6.41
,9.11375,60.32611111111112,5.79
Lam,8.92125,47.99916666666667,5.51
,8.889166666666666,53.17805555555555,6.06
,9.083333333333334,27.254722222222224,6.5
,9.0125,13.026388888888889,6.45
,9.02875,21.157500000000002,6.06
,9.194166666666666,44.48861111111111,5.13
17Zet,9.242916666666666,53.89694444444444,3.66
29Pi,9.220416666666667,33.71944444444445,4.36
53,9.197083333333333,15.231666666666667,5.89
,9.28,24.014166666666668,6.47
,9.337916666666667,35.39944444444444,5.48
,9.947083333333333,82.49388888888889,6.4
,9.33625,23.23277777777778,5.57
,9.155833333333334,64.87527777777778,6.42
,9.377083333333333,3.1352777777777776,6.39
,9.325416666666667,53.60583333333334,6.41
30Eps,9.63875,29.311666666666667,4.37
,9.79125,49.35444444444445,5.43
31Del,9.832083333333333,30.860833333333336,3.27
54,9.840833333333334,21.250555555555554,5.87
55,9.981666666666667,21.438333333333333,5.36
18Alp,10.127083333333333,56.53722222222222,2.23
,9.67,72.86277777777777,6.85
,9.99125,32.038333333333334,6.69
,9.966666666666667,43.20333333333333,6.01
,10.119166666666667,15.483055555555556,6.49
,10.137083333333333,22.195555555555554,6.14
,10.176666666666666,3.6480555555555556,5.91
32,10.28,39.45861111111111,5.33
,10.11,58.54555555555555,5.89
,10.514166666666666,66.14750000000001,5.83
,10.4,24.629166666666666,6.04
19Xi,10.51625,50.5125,4.8
Mu,10.331666666666667,45.915,4.59
,10.629583333333333,58.75333333333333,6.17
Xi,10.443333333333333,55.498333333333335,5.7
20Pi,10.867083333333333,47.02472222222222,4.94
Lam,10.67875,37.53666666666666,6.06
,10.674166666666666,59.7375,5.98
Rho,10.618333333333334,64.53194444444445,5.39
16Bet,10.8975,16.013333333333332,2.04
,11.11,47.86416666666667,5.67
,10.959166666666667,11.988333333333333,6.02
Eta,10.838333333333333,56.536944444444444,4.36
21,11.4125,74.98805555555556,5.66
22Omi,11.18125,48.28444444444444,4.54
17Phi,11.0475,9.390555555555556,4.76
Lam,11.050416666666667,37.57833333333333,5.9
,11.321666666666667,55.22166666666667,5.42
,11.185,21.99388888888889,5.24
,11.237916666666667,41.32333333333334,5.94
,11.134583333333333,61.50222222222222,6.07
,11.6625,69.325,6.33
,11.350416666666666,3.370833333333333,6.15
,11.25,52.285,6.15
18,11.369583333333333,11.119166666666667,6.15
,11.562916666666666,55.305277777777775,6.52
,11.545416666666666,44.86138888888889,6.05
,11.42375,15.575833333333334,6.47
,11.676666666666666,59.574444444444445,6.39
23,11.942083333333333,74.8475,5.41
,11.44,46.44833333333334,5.8
,11.549166666666666,21.478055555555557,5.5
57,11.6375,15.475555555555555,5.38
,12.037916666666666,72.67500000000001,5.87
58,11.75625,11.973888888888888,5.5
59,11.806666666666667,19.578888888888887,6.13
34Zet,11.834583333333333,24.26722222222222,4.06
60,11.848333333333333,6.740833333333334,5.99
61,11.978333333333333,20.92527777777778,6.54
,11.930416666666666,17.93861111111111,5.7
24Eta,12.275,57.81583333333333,3.44
,12.004583333333333,20.277500000000003,5.57
62,12.0725,7.3,5.93
,12.095833333333333,5.280555555555556,5.75
25Nu,12.20875,50.968333333333334,4.89
63Del,12.170833333333333,7.585,4.43
64,12.244583333333333,16.940555555555555,5.07
35Nu,12.453333333333333,41.07888888888889,4.53
,12.356666666666667,12.438611111111111,5.59
,12.307916666666667,23.863611111111112,5.9
,12.23625,45.30222222222223,6.27
65,12.47,27.710833333333333,7.0
65,12.471666666666668,27.710277777777776,7.1
,12.389166666666666,22.638333333333332,6.28
,12.681666666666667,64.2475,5.39
,12.57625,45.00222222222222,6.15
19Phi,12.531666666666666,9.355555555555556,5.19
Lam,12.1475,73.07666666666667,5.07
