Name,RA_2000_Deg,RA_2000_HMS,Dec_2000_Deg,Vmag,Spct
,1.29125,0.08608333333333333,45.22916666666667,6.7,A
,1.2658333333333334,0.08438888888888889,-0.5030555555555556,6.29,G
33,1.33375,0.08891666666666666,-5.7075000000000005,4.61,K
86,1.425,0.095,13.39611111111111,5.51,G
,1.5666666666666667,0.10444444444444445,58.43666666666666,5.96,G
,1.5791666666666666,0.10527777777777779,-49.075,5.7,G
10,1.6104166666666666,0.10736111111111112,64.19611111111111,5.59,B
,1.6533333333333333,0.11022222222222222,29.02138888888889,6.13,K
,1.70875,0.11391666666666667,-23.1075,6.18,A
,1.8258333333333334,0.12172222222222222,-17.386388888888888,6.19,A
,1.93375,0.12891666666666668,-2.548888888888889,6.43,B
,1.945,0.12966666666666668,-22.50888888888889,5.94,A
,2.0145833333333334,0.13430555555555557,-33.529444444444444,5.68,K
,2.0504166666666666,0.13669444444444445,-2.447777777777778,6.07,K
21Alp,2.0970833333333334,0.13980555555555554,29.090555555555554,2.06,B
,2.0725,0.13816666666666666,-8.823888888888888,5.99,G
,2.1708333333333334,0.14472222222222222,36.626666666666665,6.19,F
,2.1391666666666667,0.1426111111111111,-17.5775,6.06,M
,2.2175,0.14783333333333334,25.462777777777777,6.23,K
,2.3341666666666665,0.15561111111111112,79.71472222222222,6.01,A
11Bet,2.294583333333333,0.1529722222222222,59.14972222222222,2.27,F
87,2.26,0.15066666666666667,18.211944444444445,5.53,G
,2.26,0.15066666666666667,-54.00194444444445,6.33,G
Kap,2.3375,0.15583333333333332,-27.98777777777778,5.42,F
Eps,2.3529166666666668,0.15686111111111112,-45.7475,3.88,K
34,2.5095833333333335,0.16730555555555554,11.145555555555555,5.51,B
22,2.580416666666667,0.17202777777777778,46.07222222222222,5.03,F
,2.62375,0.17491666666666666,57.16555555555556,6.74,B
,2.578333333333333,0.17188888888888887,-5.248611111111111,5.84,K
Gam,2.50875,0.16724999999999998,-82.2238888888889,5.28,G
,2.6783333333333332,0.17855555555555555,-12.58,5.85,K
,2.660833333333333,0.17738888888888887,-73.22444444444444,6.64,F
6,2.81625,0.18775,-15.468055555555555,4.89,F
Kap,2.8933333333333335,0.1928888888888889,-27.799722222222226,5.41,K
The,2.933333333333333,0.19555555555555554,-35.13305555555556,5.25,F
,2.99625,0.19974999999999998,48.152499999999996,6.16,K
,3.0416666666666665,0.20277777777777778,-17.938333333333333,5.25,K
,3.21,0.21400000000000002,37.69333333333333,6.73,B
88Gam,3.3091666666666666,0.22061111111111112,15.18361111111111,2.83,B
,3.35,0.22333333333333333,26.987222222222222,6.3,G
23,3.3783333333333334,0.22522222222222224,41.03527777777778,5.72,F
,3.4254166666666666,0.22836111111111113,-26.021944444444443,5.94,K
,3.4341666666666666,0.22894444444444445,-26.284722222222225,6.31,K
,3.5095833333333335,0.23397222222222222,33.20611111111111,6.25,A
89Chi,3.6508333333333334,0.2433888888888889,20.206666666666667,4.8,M
,3.615,0.241,-7.780555555555556,5.12,M
,3.3308333333333335,0.22205555555555556,-84.99416666666667,5.77,M
7,3.66,0.244,-18.93277777777778,4.44,M
,3.73375,0.24891666666666667,22.284166666666668,6.24,A
35,3.745,0.24966666666666668,8.820833333333333,5.79,F
,3.7270833333333333,0.24847222222222223,-9.569722222222222,5.75,B
,3.779166666666667,0.25194444444444447,31.535833333333336,6.45,K
,3.7941666666666665,0.25294444444444447,27.283055555555556,6.35,A
,3.7425,0.2495,-34.904444444444444,6.17,K
,4.058333333333334,0.27055555555555555,76.95083333333334,6.35,B
,4.09,0.27266666666666667,43.594722222222224,6.15,A
,4.037083333333333,0.26913888888888887,-31.44638888888889,5.67,K
,3.98,0.2653333333333333,-75.9113888888889,6.49,G
36,4.142083333333334,0.2761388888888889,8.239999999999998,6.11,G
,4.237916666666667,0.28252777777777777,61.53333333333333,5.74,G
,4.177083333333333,0.27847222222222223,-20.210555555555555,6.47,B
,4.287916666666667,0.2858611111111111,47.9475,5.89,B
24The,4.272916666666666,0.2848611111111111,38.681666666666665,4.61,A
,4.204166666666667,0.2802777777777778,-78.78055555555555,6.77,F
,4.429166666666666,0.29527777777777775,51.433055555555555,6.14,O
,4.385833333333333,0.29238888888888886,-19.051111111111112,6.45,F
,4.44875,0.2965833333333333,1.6888888888888889,6.17,K
25Sig,4.582083333333333,0.3054722222222222,36.78527777777778,4.52,A
,4.571666666666666,0.30477777777777776,11.205833333333333,6.05,K
26,4.675416666666667,0.31169444444444444,43.79111111111111,6.11,B
,4.659583333333333,0.31063888888888885,31.51722222222222,5.87,A
,4.674166666666666,0.3116111111111111,-8.052777777777779,6.46,G
,4.6775,0.3118333333333333,-43.23527777777778,6.33,K
8Iot,4.857083333333334,0.32380555555555557,-8.823888888888888,3.56,K
,4.923333333333334,0.3282222222222222,40.72972222222222,6.33,K
,5.0216666666666665,0.3347777777777778,48.86527777777778,6.52,A
Zet,5.017916666666666,0.33452777777777776,-64.87472222222222,4.23,F
,5.101666666666667,0.3401111111111111,30.935833333333335,5.9,B
,5.189583333333333,0.3459722222222222,32.91138888888889,5.79,K
41,5.149583333333333,0.34330555555555553,8.190277777777778,5.37,K
,5.227083333333334,0.3484722222222222,10.976944444444445,6.56,A
27Rho,5.2804166666666665,0.3520277777777778,37.968611111111116,5.18,F
Pi,5.1625,0.3441666666666666,-69.625,5.51,B
Iot,5.38,0.35866666666666663,-28.981666666666666,5.18,G
,5.442916666666667,0.3628611111111111,-20.05777777777778,5.12,M
42,5.60625,0.37374999999999997,13.4825,6.23,K
,5.369166666666667,0.3579444444444444,-77.42694444444444,5.97,K
9,5.715833333333333,0.38105555555555554,-12.209444444444443,6.39,G
,5.8025,0.38683333333333336,-31.03611111111111,6.55,B
,6.008333333333334,0.40055555555555555,38.577222222222225,7.39,S
,6.065,0.4043333333333334,52.019999999999996,5.57,B
12,6.197916666666667,0.4131944444444445,61.83111111111111,5.4,B
,6.12375,0.40825,-2.2191666666666667,6.07,K
,6.276666666666666,0.41844444444444445,53.04694444444444,5.74,B
44,6.350833333333333,0.4233888888888889,1.9397222222222223,5.77,G
Bet,6.437916666666666,0.4291944444444445,-77.25416666666666,2.8,G
Alp,6.570833333333334,0.4380555555555556,-42.30611111111111,2.39,K
Kap,6.550833333333333,0.43672222222222223,-43.68,3.94,A
10,6.655833333333334,0.44372222222222224,-0.04972222222222222,6.19,G
,6.81125,0.45408333333333334,-25.547222222222224,5.98,G
47,7.012083333333333,0.46747222222222223,17.893055555555556,5.06,M
,7.057083333333333,0.47047222222222224,44.394444444444446,5.17,A
Eta,6.982083333333334,0.46547222222222223,-33.007222222222225,4.81,M
48,7.0529166666666665,0.47019444444444447,16.445,6.06,K
,7.08375,0.47225,10.189722222222223,6.04,F
,7.087916666666667,0.47252777777777777,-20.334999999999997,6.43,G
,7.11,0.47400000000000003,-39.915,5.43,M
,7.235833333333334,0.4823888888888889,36.9,6.26,G
,7.179583333333333,0.4786388888888889,-50.532777777777774,6.26,K
,7.729166666666667,0.5152777777777777,77.01944444444445,6.21,K
,7.582916666666667,0.5055277777777778,59.977222222222224,5.94,B
28,7.5304166666666665,0.5020277777777777,29.751666666666665,5.23,A
,7.46625,0.49775,-14.864166666666666,6.14,F
,7.45375,0.4969166666666667,-32.11666666666667,6.57,K
12,7.51,0.5006666666666667,-3.957222222222222,5.72,M
,7.5945833333333335,0.5063055555555556,-23.78777777777778,5.19,A
,7.615833333333334,0.5077222222222222,-40.93944444444444,6.19,F
,7.60875,0.50725,-48.215,5.69,F
13,7.855416666666667,0.5236944444444445,66.51944444444445,6.18,B
,7.8566666666666665,0.5237777777777778,33.58166666666667,5.87,K
14Lam,7.943333333333333,0.5295555555555556,54.52222222222222,4.73,B
,7.921666666666667,0.5281111111111112,52.839444444444446,5.6,K
Lam,7.854166666666667,0.5236111111111111,-48.80361111111111,4.77,A
Bet,7.88625,0.52575,-62.95805555555556,4.37,B
Bet,7.89,0.526,-62.965833333333336,4.54,A
,8.111666666666666,0.5407777777777778,43.49472222222222,6.7,A
,8.330416666666666,0.5553611111111112,70.98166666666667,6.42,A
