Name,RA_2000,Dec_2000,Vmag,Spct
,000509.9,+451345,6.70,A
,000503.8,-003011,6.29,G
33,000520.1,-054227,4.61,K
86,000542.0,+132346,5.51,G
,000616.0,+582612,5.96,G
,000619.0,-490430,5.70,G
10,000626.5,+641146,5.59,B
,000636.8,+290117,6.13,K
,000650.1,-230627,6.18,A
,000718.2,-172311,6.19,A
,000744.1,-023256,6.43,B
,000746.8,-223032,5.94,A
,000803.5,-333146,5.68,K
,000812.1,-022652,6.07,K
21Alp,000823.3,+290526,2.06,B
,000817.4,-084926,5.99,G
,000841.0,+363736,6.19,F
,000833.4,-173439,6.06,M
,000852.2,+252746,6.23,K
,000920.2,+794253,6.01,A
11Bet,000910.7,+590859,2.27,F
87,000902.4,+181243,5.53,G
,000902.4,-540007,6.33,G
Kap,000921.0,-275916,5.42,F
Eps,000924.7,-454451,3.88,K
34,001002.3,+110844,5.51,B
22,001019.3,+460420,5.03,F
,001029.7,+570956,6.74,B
,001018.8,-051455,5.84,K
Gam,001002.1,-821326,5.28,G
,001042.8,-123448,5.85,K
,001038.6,-731328,6.64,F
6,001115.9,-152805,4.89,F
Kap,001134.4,-274759,5.41,K
The,001144.0,-350759,5.25,F
,001159.1,+480909,6.16,K
,001210.0,-175618,5.25,K
,001250.4,+374136,6.73,B
88Gam,001314.2,+151101,2.83,B
,001324.0,+265914,6.30,G
23,001330.8,+410207,5.72,F
,001342.1,-260119,5.94,K
,001344.2,-261705,6.31,K
,001402.3,+331222,6.25,A
89Chi,001436.2,+201224,4.80,M
,001427.6,-074650,5.12,M
,001319.4,-845939,5.77,M
7,001438.4,-185558,4.44,M
,001456.1,+221703,6.24,A
35,001458.8,+084915,5.79,F
,001454.5,-093411,5.75,B
,001507.0,+313209,6.45,K
,001510.6,+271659,6.35,A
,001458.2,-345416,6.17,K
,001614.0,+765703,6.35,B
,001621.6,+433541,6.15,A
,001608.9,-312647,5.67,K
,001555.2,-755441,6.49,G
36,001634.1,+081424,6.11,G
,001657.1,+613200,5.74,G
,001642.5,-201238,6.47,B
,001709.1,+475651,5.89,B
24The,001705.5,+384054,4.61,A
,001649.0,-784650,6.77,F
,001743.0,+512559,6.14,O
,001732.6,-190304,6.45,F
,001747.7,+014120,6.17,K
25Sig,001819.7,+364707,4.52,A
,001817.2,+111221,6.05,K
26,001842.1,+434728,6.11,B
,001838.3,+313102,5.87,A
,001841.8,-080310,6.46,G
,001842.6,-431407,6.33,K
8Iot,001925.7,-084926,3.56,K
,001941.6,+404347,6.33,K
,002005.2,+485155,6.52,A
Zet,002004.3,-645229,4.23,F
,002024.4,+305609,5.90,B
,002045.5,+325441,5.79,K
41,002035.9,+081125,5.37,K
,002054.5,+105837,6.56,A
27Rho,002107.3,+375807,5.18,F
Pi,002039.0,-693730,5.51,B
Iot,002131.2,-285854,5.18,G
,002146.3,-200328,5.12,M
42,002225.5,+132857,6.23,K
,002128.6,-772537,5.97,K
9,002251.8,-121234,6.39,G
,002312.6,-310210,6.55,B
,002402.0,+383438,7.39,S
,002415.6,+520112,5.57,B
NOVA,,,,
12,002447.5,+614952,5.40,B
,002429.7,-021309,6.07,K
47,,,,
,002506.4,+530249,5.74,B
44,002524.2,+015623,5.77,G
Bet,002545.1,-771515,2.80,G
Alp,002617.0,-421822,2.39,K
Kap,002612.2,-434048,3.94,A
10,002637.4,-000259,6.19,G
,002714.7,-253250,5.98,G
47,002802.9,+175335,5.06,M
,002813.7,+442340,5.17,A
Eta,002755.7,-330026,4.81,M
48,002812.7,+162642,6.06,K
,002820.1,+101123,6.04,F
,002821.1,-202006,6.43,G
,002826.4,-395454,5.43,M
,002856.6,+365400,6.26,G
,002843.1,-503158,6.26,K
