MOUSE CODE,GENERAL CODE,TRIAL,R,T,D,H
C1B,CB,1,37.44,19,0.59,17.89
C1B,CB,2,36.99,18,0.56,17.62
C1B,CB,3,37.36,19,0.57,11.41
C2B,CB,1,33.94,17,0.47,16
C2B,CB,2,33.07,16,0.46,18.8
C2B,CB,3,23.65,12,0.23,14.88
C3B,CB,1,35.58,18,0.53,12.65
C3B,CB,2,35.93,18,0.53,15.21
C3B,CB,3,36.63,18,0.55,9.73
C4B,CB,1,31.93,16,0.42,13.24
C4B,CB,2,30.88,15,0.4,12.21
C4B,CB,3,25.24,12,0.26,10.22
C5B,CB,1,30.88,15,0.39,13.32
C5B,CB,2,34.6,17,0.49,7.52
C5B,CB,3,34.6,17,0.49,10.12
P1B,PB,1,29.89,15,0.37,30.82
P1B,PB,2,25.08,12,0.26,16.16
P1B,PB,3,40.18,22,0.78,19.2
P2B,PB,1,29.19,14,0.36,15.38
P2B,PB,2,23.06,11,0.22,15.46
P2B,PB,3,34.6,17,0.49,11.91
P3B,PB,1,34.28,17,0.49,12.42
P3B,PB,2,40.18,21,0.71,15.84
P3B,PB,3,40.18,22,0.78,13.17
P4B,PB,1,40.18,22,0.78,9.03
P4B,PB,2,40.18,22,0.79,12.44
P4B,PB,3,23.65,12,0.23,37.6
P5B,PB,1,33.97,17,0.47,12.65
P5B,PB,2,38.13,19,0.6,16.52
P5B,PB,3,25.59,13,0.27,10.53
N1B,NB,1,40.18,20,0.69,13.42
N1B,NB,2,40.18,22,0.78,13.61
N1B,NB,3,40.18,26,1.04,15.27
N2B,NB,1,40.18,20,0.66,13.45
N2B,NB,2,34.6,17,0.49,8.29
N2B,NB,3,40.18,22,0.82,9.08
N3B,NB,1,40.18,21,0.75,9.46
N3B,NB,2,40.18,22,0.78,11.22
N3B,NB,3,40.18,24,0.92,13.77
N4B,NB,1,24.91,12,0.26,9.15
N4B,NB,2,23.65,12,0.23,15.21
N4B,NB,3,28.31,14,0.33,17.66
N5B,NB,1,25.95,13,0.28,14.75
N5B,NB,2,25.59,13,0.27,14.69
N5B,NB,3,28.74,14,0.34,34.55
S1B,SB,1,40.18,27,1.14,14.14
S1B,SB,2,40.18,37,1.75,12.92
S1B,SB,3,40.18,22,0.83,11.7
S2B,SB,1,40.18,21,0.76,8.68
S2B,SB,2,37.36,19,0.58,17.53
S2B,SB,3,40.18,22,0.77,12.53
S3B,SB,1,28.31,14,0.33,11.51
S3B,SB,2,31.14,15,0.4,16.61
S3B,SB,3,38.52,19,0.61,21.61
S4B,SB,1,25.08,12,0.26,11.14
S4B,SB,2,25.08,12,0.26,11.11
S4B,SB,3,26.69,13,0.29,11.15
S5B,SB,1,23.65,12,0.23,12.33
S5B,SB,2,30.88,15,0.39,17.18
S5B,SB,3,40.18,24,0.94,16.76
C1W1,CW1,1,40.18,21,0.74,16.83
C1W1,CW1,2,40.18,23,0.85,9.56
C1W1,CW1,3,40.18,23,0.84,10.82
C2W1,CW1,1,39.33,20,0.64,22.31
C2W1,CW1,2,40.18,21,0.71,8.65
C2W1,CW1,3,38.13,19,0.61,12.38
C3W1,CW1,1,40.18,22,0.82,15.91
C3W1,CW1,2,40.18,21,0.76,6.22
C3W1,CW1,3,40.18,24,0.96,8.47
C4W1,CW1,1,28.89,14,0.33,7.46
C4W1,CW1,2,40.18,20,0.68,9.04
C4W1,CW1,3,40.18,20,1.13,7.95
C5W1,CW1,1,36.99,18,0.56,6.45
C5W1,CW1,2,38.52,19,0.61,11.19
C5W1,CW1,3,40.18,23,0.86,8.99
P1W1,PW1,1,18.22,9,0.14,11.66
P1W1,PW1,2,19.77,10,0.16,14.9
P1W1,PW1,3,19.16,9,0.15,20.51
P2W1,PW1,1,31.66,16,0.42,19.77
P2W1,PW1,2,16.25,8,0.12,16.51
